Monthly Income Trend,,,Monthly Expenses Trend,,,,,,,,,,,,,,,
Month  ,Net Income,,Month  ,Net Expenes,,,,,,,,,,,,,,
Jan,11126,,Jan,2874,,,,,,,,,,,,Income,Expenses,Balance
Feb,2895.4,,Feb,2904.6,,,,,,,,,,,," $65,440 "," $30,191 "," $35,249 "
Mar,2950.3,,Mar,3049.7,,,,,,,,,,,,,,
Apr,4302,,Apr,3038,,,,,,,,,,,,,,
May,2883.9,,May,3116.1,,,,,,,,,,,,,,
Jun,2094.3,,Jun,3005.7,,,,,,,,,,,,,,
Jul,2135,,Jul,3065,,,,,,,,,,,,,,
Aug,2847.9,,Aug,2952.1,,,,,,,,,,,,Maximun Income,Maximum Expenses,
Sep,2012.9,,Sep,3087.1,,,,,,,,,,,," $5,000 ", $900 ,
Oct,2001.3,,Oct,3098.7,,,,,,,,,,,,,,
Grand Total,35249,,Grand Total,30191,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Weekly Trend Income & Spending,,,,,,,,,,,,,,,,,,
Week ,Expenses,Income,,,,,,,,,,,,,,,,
Mon,4703,31400,,,,,,,,,,,,,,,,
Tue,5594.1,10300,,,,,,,,,,,,,,,,
Wed,3564.3,100,,,,,,,,,,,,,,,,
Thu,4158.2,12340,,,,,,,,,,,,,,,,
Fri,5050.8,5100,,,,,,,,,,,,,,,,
Sat,3441,200,,,,,,,,,,,,,,,,
Sun,3679.6,6000,,,,,,,,,,,,,,,,
Grand Total,30191,65440,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Monthly Spending/IncomeTrend,,,,,,,,,,,,,,,,,,
Month,Expenses,Income,,,,,,,,,,,,,,,,
Jan,2874,14000,,,,,,,,,,,,,,,,
Feb,2904.6,5800,,,,,,,,,,,,,,,,
Mar,3049.7,6000,,,,,,,,,,,,,,,,
Apr,3038,7340,,,,,,,,,,,,,,,,
May,3116.1,6000,,,,,,,,,,,,,,,,
Jun,3005.7,5100,,,,,,,,,,,,,,,,
Jul,3065,5200,,,,,,,,,,,,,,,,
Aug,2952.1,5800,,,,,,,,,,,,,,,,
Sep,3087.1,5100,,,,,,,,,,,,,,,,
Oct,3098.7,5100,,,,,,,,,,,,,,,,
Grand Total,30191,65440,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Income Sources,,,Top 5 Expenditures,,,,,,,,,,,,,,,
Category Type,Income,,Category Type,Expense,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Row Labels,Sum of Credit,,Row Labels,Sum of Debit,,,,,,,,,,,,,,
Data with Decision," $50,000 ",,Rent," $9,000 ",,,,,,,,,,,,,,
Teachable," $4,500 ",,Groceries," $6,454 ",,,,,,,,,,,,,,
YouTube," $10,940 ",,Clothes," $4,304 ",,,,,,,,,,,,,,
Grand Total," $65,440 ",,Entertainment," $1,813 ",,,,,,,,,,,,,,
,,,Cash loan," $1,500 ",,,,,,,,,,,,,,
,,,Grand Total," $23,070 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Month,Expenses,Income,Sum of Net Amount,Saving Rate,,,,,,,,,,,,,,
Jan,2874,14000,11126,79%,,,,,,,,,,,,,,
Feb,2904.6,5800,2895.4,50%,,,,,,,,,,,,,,
Mar,3049.7,6000,2950.3,49%,,,,,,,,,,,,,,
Apr,3038,7340,4302,59%,,,,,,,,,,,,,,
May,3116.1,6000,2883.9,48%,,,,,,,,,,,,,,
Jun,3005.7,5100,2094.3,41%,,,,,,,,,,,,,,
Jul,3065,5200,2135,41%,,,,,,,,,,,,,,
Aug,2952.1,5800,2847.9,49%,,,,,,,,,,,,,,
Sep,3087.1,5100,2012.9,39%,,,,,,,,,,,,,,
Oct,3098.7,5100,2001.3,39%,,,,,,,,,,,,,,
Grand Total,30191,65440,35249,54%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Category Type,Income,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Sum of Credit,Column Labels,,,,,,,,,,,,,,,,,
Row Labels,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Grand Total,,,,,,,
Data with Decision," $5,000 "," $5,000 "," $5,000 "," $5,000 "," $5,000 "," $5,000 "," $5,000 "," $5,000 "," $5,000 "," $5,000 "," $50,000 ",,,,,,,
Teachable," $4,500 ",,,,,,,,,," $4,500 ",,,,,,,
YouTube," $4,500 ", $800 ," $1,000 "," $2,340 "," $1,000 ", $100 , $200 , $800 , $100 , $100 ," $10,940 ",,,,,,,
Grand Total," $14,000 "," $5,800 "," $6,000 "," $7,340 "," $6,000 "," $5,100 "," $5,200 "," $5,800 "," $5,100 "," $5,100 "," $65,440 ",,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Category Type,Expense,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Sum of Debit,Column Labels,,,,,,,,,,,,,,,,,
Row Labels,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Grand Total,,,,,,,
Rent, $900 , $900 , $900 , $900 , $900 , $900 , $900 , $900 , $900 , $900 ," $9,000 ",,,,,,,
Groceries, $622 , $675 , $667 , $594 , $649 , $660 , $690 , $573 , $707 , $617 ," $6,454 ",,,,,,,
Clothes, $368 , $508 , $551 , $377 , $380 , $383 , $386 , $389 , $567 , $395 ," $4,304 ",,,,,,,
Entertainment, $247 , $76 , $77 , $378 , $79 , $260 , $81 , $264 , $83 , $268 ," $1,813 ",,,,,,,
Cash loan, $150 , $150 , $150 , $150 , $150 , $150 , $150 , $150 , $150 , $150 ," $1,500 ",,,,,,,
Fueling, $63 , $142 , $144 , $146 , $148 , $150 , $152 , $154 , $156 , $158 ," $1,413 ",,,,,,,
Restaurant, $101 , $104 , $122 , $125 , $128 , $131 , $149 , $138 , $141 , $143 ," $1,282 ",,,,,,,
Coffee, $182 , $105 , $115 , $115 , $115 , $110 , $110 , $115 , $110 , $115 ," $1,192 ",,,,,,,
Taxi, $51 , $53 , $55 , $57 , $59 , $61 , $64 , $65 , $67 , $69 , $602 ,,,,,,,
Donation, $55 , $55 , $55 , $55 , $55 , $55 , $55 , $55 , $55 , $55 , $550 ,,,,,,,
Gas/Electrics, $50 , $51 , $52 , $53 , $54 , $55 , $56 , $57 , $58 , $59 , $546 ,,,,,,,
Gifts, $45 , $46 , $47 , $48 , $49 , $50 , $51 , $52 , $53 , $54 , $495 ,,,,,,,
Furnishings,,,,, $235 ,, $181 ,,,, $416 ,,,,,,,
Phone, $40 , $40 , $40 , $40 , $40 , $40 , $40 , $40 , $40 , $40 , $400 ,,,,,,,
Doctor,,, $75 ,, $75 ,,,,, $75 , $225 ,,,,,,,
Grand Total," $2,874 "," $2,905 "," $3,050 "," $3,038 "," $3,116 "," $3,006 "," $3,065 "," $2,952 "," $3,087 "," $3,099 "," $30,191 ",,,,,,,
